Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bourget Marc-Alexandre C.A.Q.-É.F.L.;Breton Michel P.Q.;Reid Pierre P.L.Q./Q.L.P.;Spick Denis O.N. - P.I.Q.;Tremblay Patricia Q.S.;B.V.;B.R.;
123;Orford;2014-04-07;G;Stanstead, v;1;;1;365;25;16;136;0;6;183;0;
123;Orford;2014-04-07;G;Stanstead, v;1;;2;345;9;7;123;0;4;143;2;
123;Orford;2014-04-07;G;Stanstead, v;1;;3;346;18;13;138;0;3;172;3;
123;Orford;2014-04-07;G;Stanstead, v;1;;4;341;15;11;94;1;7;128;2;
123;Orford;2014-04-07;G;Stanstead, v;1;;5;351;20;15;136;1;6;178;0;
123;Orford;2014-04-07;G;Stanstead, v;1;;6;371;19;7;132;1;4;163;3;
123;Orford;2014-04-07;G;Ogden, m;1;;7;281;15;11;153;0;3;182;0;
123;Orford;2014-04-07;G;Ogden, m;1;;8;298;13;3;119;1;5;141;1;
123;Orford;2014-04-07;G;Stanstead, ct;1;;9;282;35;32;97;1;15;180;1;
123;Orford;2014-04-07;G;Stanstead, ct;1;;10;275;28;47;70;2;10;157;1;
123;Orford;2014-04-07;G;Stanstead, ct;1;;11;279;15;15;132;0;4;166;0;
123;Orford;2014-04-07;G;Potton, ct;1;;12;373;26;28;142;1;11;208;3;
123;Orford;2014-04-07;G;Potton, ct;1;;13;370;27;30;167;0;3;227;1;
123;Orford;2014-04-07;G;Potton, ct;1;;14;354;37;37;142;0;14;230;0;
123;Orford;2014-04-07;G;Potton, ct;1;;15;363;23;42;132;1;12;210;0;
123;Orford;2014-04-07;G;Bolton-Est, m;1;;16;375;29;25;178;2;14;248;1;
123;Orford;2014-04-07;G;Bolton-Est, m;1;;17;366;24;51;56;1;26;158;3;
123;Orford;2014-04-07;G;Saint-Étienne-de-Bolton, m;1;;18;250;35;54;39;1;28;157;2;
123;Orford;2014-04-07;G;Saint-Étienne-de-Bolton, m;1;;19;253;42;30;29;1;9;111;2;
123;Orford;2014-04-07;G;Stukely-Sud, vl;1;;20;404;72;47;70;0;18;207;0;
123;Orford;2014-04-07;G;Stukely-Sud, vl;1;;21;388;56;69;87;1;14;227;7;
123;Orford;2014-04-07;G;Sainte-Anne-de-la-Rochelle, m;1;;22;213;40;44;41;1;18;144;5;
123;Orford;2014-04-07;G;Sainte-Anne-de-la-Rochelle, m;1;;23;237;57;47;36;0;4;144;5;
123;Orford;2014-04-07;G;Lawrenceville, vl;1;;24;259;56;33;51;0;18;158;8;
123;Orford;2014-04-07;G;Lawrenceville, vl;1;;25;245;51;29;59;1;14;154;5;
123;Orford;2014-04-07;G;Bonsecours, m;1;;26;242;66;53;60;0;12;191;1;
123;Orford;2014-04-07;G;Bonsecours, m;1;;27;222;32;46;49;0;15;142;4;
123;Orford;2014-04-07;G;Orford, ct;1;;28;351;50;57;44;0;20;171;0;
123;Orford;2014-04-07;G;Orford, ct;1;;29;403;50;69;56;0;18;193;0;
123;Orford;2014-04-07;G;Orford, ct;1;;30;395;49;60;51;1;28;189;4;
123;Orford;2014-04-07;G;Orford, ct;1;;31;397;66;48;62;6;24;206;0;
123;Orford;2014-04-07;G;Orford, ct;1;;32A;221;20;26;37;0;10;93;2;
123;Orford;2014-04-07;G;Orford, ct;1;;32B;208;34;24;33;1;9;101;0;
123;Orford;2014-04-07;G;Orford, ct;1;;33;404;63;65;99;0;22;249;2;
123;Orford;2014-04-07;G;Orford, ct;1;;34;357;26;62;58;0;32;178;3;
123;Orford;2014-04-07;G;Orford, ct;1;;35A;222;32;28;42;3;14;119;0;
123;Orford;2014-04-07;G;Orford, ct;1;;35B;207;29;36;38;1;6;110;2;
123;Orford;2014-04-07;G;Eastman, m;1;;36;366;48;63;36;1;25;173;3;
123;Orford;2014-04-07;G;Eastman, m;1;;37;379;43;57;45;1;24;170;4;
123;Orford;2014-04-07;G;Eastman, m;1;;38;353;57;44;54;4;11;170;0;
123;Orford;2014-04-07;G;Eastman, m;1;;39;363;49;56;63;3;19;190;0;
123;Orford;2014-04-07;G;Austin, m;1;;40;409;68;42;57;1;14;182;5;
123;Orford;2014-04-07;G;Austin, m;1;;41;413;37;64;68;2;29;200;2;
123;Orford;2014-04-07;G;Austin, m;1;;42;407;35;26;134;4;13;212;5;
123;Orford;2014-04-07;G;Saint-Benoît-du-Lac, m;1;Regr. BVO-42;43;0;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Magog, v;1;;44;425;76;61;74;5;13;229;3;
123;Orford;2014-04-07;G;Magog, v;1;;45;409;58;52;80;6;25;221;4;
123;Orford;2014-04-07;G;Magog, v;1;;46;388;40;63;62;3;16;184;0;
123;Orford;2014-04-07;G;Magog, v;1;;47;416;53;47;53;1;20;174;1;
123;Orford;2014-04-07;G;Magog, v;1;;48;408;60;45;73;2;19;199;5;
123;Orford;2014-04-07;G;Magog, v;1;;49A;225;35;35;33;2;14;119;2;
123;Orford;2014-04-07;G;Magog, v;1;;49B;226;45;20;51;0;4;120;0;
123;Orford;2014-04-07;G;Magog, v;1;;50;415;39;48;72;0;17;176;2;
123;Orford;2014-04-07;G;Magog, v;1;;51;394;66;51;76;5;9;207;2;
123;Orford;2014-04-07;G;Magog, v;2;;52;420;78;60;61;7;21;227;8;
123;Orford;2014-04-07;G;Magog, v;2;;53A;239;43;41;36;2;5;127;2;
123;Orford;2014-04-07;G;Magog, v;2;;53B;202;32;33;20;1;7;93;2;
123;Orford;2014-04-07;G;Magog, v;2;;54;395;70;59;63;3;15;210;4;
123;Orford;2014-04-07;G;Magog, v;2;;55;394;68;58;57;3;14;200;3;
123;Orford;2014-04-07;G;Magog, v;2;;56;373;51;40;67;2;9;169;3;
123;Orford;2014-04-07;G;Magog, v;3;;57;498;54;40;65;5;12;176;2;
123;Orford;2014-04-07;G;Magog, v;3;;58;371;45;43;64;5;18;175;4;
123;Orford;2014-04-07;G;Magog, v;3;;59;500;31;30;59;0;10;130;4;
123;Orford;2014-04-07;G;Magog, v;3;;60;431;28;45;49;2;12;136;2;
123;Orford;2014-04-07;G;Magog, v;3;;61;584;51;32;57;3;15;158;3;
123;Orford;2014-04-07;G;Magog, v;3;;62;366;33;34;69;1;13;150;5;
123;Orford;2014-04-07;G;Magog, v;3;;63;350;55;46;63;0;8;172;6;
123;Orford;2014-04-07;G;Magog, v;4;;64;371;30;45;70;1;12;158;6;
123;Orford;2014-04-07;G;Magog, v;4;;65;408;40;51;63;8;7;169;4;
123;Orford;2014-04-07;G;Magog, v;4;;66;391;57;43;67;6;11;184;4;
123;Orford;2014-04-07;G;Magog, v;4;;67;424;36;37;46;3;11;133;2;
123;Orford;2014-04-07;G;Magog, v;4;;68;409;42;51;56;0;9;158;3;
123;Orford;2014-04-07;G;Magog, v;4;;69;405;62;75;72;2;13;224;5;
123;Orford;2014-04-07;G;Magog, v;5;;70;371;50;43;59;3;17;172;1;
123;Orford;2014-04-07;G;Magog, v;5;;71;342;53;44;61;2;15;175;1;
123;Orford;2014-04-07;G;Magog, v;5;;72;460;29;36;39;1;18;123;3;
123;Orford;2014-04-07;G;Magog, v;5;;73;386;43;56;57;1;22;179;2;
123;Orford;2014-04-07;G;Magog, v;5;;74;429;69;40;47;1;19;176;0;
123;Orford;2014-04-07;G;Magog, v;5;;75;402;44;53;62;1;18;178;4;
123;Orford;2014-04-07;G;Magog, v;5;;76;373;37;47;44;0;7;135;5;
123;Orford;2014-04-07;G;Magog, v;6;;77;365;26;50;90;1;13;180;0;
123;Orford;2014-04-07;G;Magog, v;6;;78A;249;30;24;31;2;11;98;3;
123;Orford;2014-04-07;G;Magog, v;6;;78B;183;32;20;20;2;8;82;1;
123;Orford;2014-04-07;G;Magog, v;6;;79;374;48;51;70;4;11;184;5;
123;Orford;2014-04-07;G;Magog, v;6;;80;357;53;43;87;2;10;195;0;
123;Orford;2014-04-07;G;Magog, v;6;;81;380;37;35;66;1;12;151;1;
123;Orford;2014-04-07;G;Magog, v;6;;82;369;34;31;74;2;10;151;0;
123;Orford;2014-04-07;G;Magog, v;6;;83;363;46;60;47;1;11;165;2;
123;Orford;2014-04-07;G;Magog, v;6;;84;375;63;38;60;1;20;182;2;
123;Orford;2014-04-07;G;Magog, v;6;;85;362;59;41;67;3;19;189;2;
123;Orford;2014-04-07;G;Magog, v;6;;86;382;57;42;53;3;22;177;4;
123;Orford;2014-04-07;G;Magog, v;6;;87A;229;29;33;39;2;22;125;4;
123;Orford;2014-04-07;G;Magog, v;6;;87B;214;32;33;34;0;20;119;0;
123;Orford;2014-04-07;G;Magog, v;6;;88;401;50;78;68;6;29;231;3;
123;Orford;2014-04-07;G;Magog, v;6;;89A;232;44;28;44;2;11;129;0;
123;Orford;2014-04-07;G;Magog, v;6;;89B;198;40;18;36;2;13;109;0;
123;Orford;2014-04-07;G;Magog, v;6;;90;412;69;51;66;1;17;204;6;
123;Orford;2014-04-07;G;Magog, v;7;;91;382;39;40;38;0;10;127;4;
123;Orford;2014-04-07;G;Magog, v;7;;92;474;43;32;62;8;15;160;3;
123;Orford;2014-04-07;G;Magog, v;7;;93;390;50;44;82;4;24;204;4;
123;Orford;2014-04-07;G;Magog, v;7;;94;409;50;81;79;3;25;238;5;
123;Orford;2014-04-07;G;Magog, v;7;;95;410;64;52;70;4;13;203;5;
123;Orford;2014-04-07;G;Sainte-Catherine-de-Hatley, m;1;;96;395;40;53;76;1;27;197;3;
123;Orford;2014-04-07;G;Sainte-Catherine-de-Hatley, m;1;;97;383;66;49;62;1;22;200;3;
123;Orford;2014-04-07;G;Sainte-Catherine-de-Hatley, m;1;;98;397;76;48;56;2;18;200;4;
123;Orford;2014-04-07;G;Sainte-Catherine-de-Hatley, m;1;;99;383;50;55;84;4;23;216;9;
123;Orford;2014-04-07;G;Sainte-Catherine-de-Hatley, m;1;;100;378;61;41;76;3;23;204;1;
123;Orford;2014-04-07;G;Ayer's Cliff, vl;1;;101;413;54;28;162;1;8;253;7;
123;Orford;2014-04-07;G;Ayer's Cliff, vl;1;;102;419;28;23;214;2;14;281;3;
123;Orford;2014-04-07;G;Hatley, m;1;;103;287;37;30;104;0;18;189;1;
123;Orford;2014-04-07;G;Hatley, m;1;;104;301;23;27;117;0;17;184;2;
123;Orford;2014-04-07;G;North Hatley, vl;1;;105;238;11;12;76;1;16;116;1;
123;Orford;2014-04-07;G;North Hatley, vl;1;;106;258;11;12;94;0;22;139;2;
123;Orford;2014-04-07;G;Hatley, ct;1;;107;411;22;32;156;2;21;233;5;
123;Orford;2014-04-07;G;Hatley, ct;1;;108;413;48;42;101;3;23;217;5;
123;Orford;2014-04-07;G;Hatley, ct;1;;109;381;46;70;64;2;34;216;3;
123;Orford;2014-04-07;G;Hatley, ct;1;;110;400;59;48;77;3;34;221;1;
123;Orford;2014-04-07;G;Magog, v;3;Regr. BVO-57;500;0;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Magog, v;3;Regr. BVO-59;501;0;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Magog, v;3;Regr. BVO-60;502;0;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Magog, v;3;Regr. BVO-61;503;0;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Magog, v;5;Regr. BVO-72;504;0;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Magog, v;5;Regr. BVO-74;505;0;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Magog, v;7;Regr. BVO-92;506;0;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;BVA1;;;;0;36;84;433;2;11;566;0;
123;Orford;2014-04-07;G;BVA2;;;;0;63;141;237;3;29;473;4;
123;Orford;2014-04-07;G;BVA3;;;;0;62;177;157;0;30;426;4;
123;Orford;2014-04-07;G;BVA4;;;;0;67;214;137;3;27;448;2;
123;Orford;2014-04-07;G;BVA5;;;;0;52;154;156;1;30;393;4;
123;Orford;2014-04-07;G;BVA6;;;;0;88;182;255;0;32;557;3;
123;Orford;2014-04-07;G;BVA7;;;;0;88;206;276;0;33;603;1;
123;Orford;2014-04-07;G;BVA8;;;;0;50;112;117;1;22;302;1;
123;Orford;2014-04-07;G;BVA9;;;;0;55;147;180;2;13;397;3;
123;Orford;2014-04-07;G;BVA10;;;;0;56;156;221;1;21;455;7;
123;Orford;2014-04-07;G;BVA11;;;;0;75;144;190;3;19;431;6;
123;Orford;2014-04-07;G;BVA12;;;;0;74;175;246;4;30;529;5;
123;Orford;2014-04-07;G;BVA13;;;;0;69;145;239;4;19;476;10;
123;Orford;2014-04-07;G;BVA14;;;;0;78;164;272;4;17;535;3;
123;Orford;2014-04-07;G;BVA15;;;;0;76;105;113;4;14;312;0;
123;Orford;2014-04-07;G;BVA16;;;;0;70;190;197;2;28;487;4;
123;Orford;2014-04-07;G;BVA17;;;;0;45;105;306;1;26;483;1;
123;Orford;2014-04-07;G;Vote en installation d'hébergement;;;;0;30;113;319;5;18;485;11;
123;Orford;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;16;31;84;2;5;138;3;
123;Orford;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;40;122;178;0;22;362;1;
123;Orford;2014-04-07;G;Vote hors circonscription;;;;0;66;132;248;20;89;555;11;
123;Orford;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;310;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;15;0;0;0;0;0;0;0;
123;Orford;2014-04-07;G;Total de la circonscription;;;;41195;6227;7767;13055;273;2291;29613;387;
123;Orford;2014-04-07;G;Majorité en faveur de Pierre Reid : 5288
